Time in s,Speed in km/h,Sampling time in s,Acceleration in m/s²,Altitude in m,Gradient angle in rad
493.0,0.0,1.0,0.0,0.0,0.0
494.0,0.0,1.0,0.0,0.0,0.0
495.0,0.0,1.0,0.0,0.0,0.0
496.0,0.0,1.0,0.0,0.0,0.0
497.0,0.0,1.0,0.0,0.0,0.0
498.0,0.0,1.0,0.0,0.0,0.0
499.0,0.0,1.0,0.0,0.0,0.0
500.0,0.0,1.0,0.0,0.0,0.0
501.0,0.0,1.0,0.0,0.0,0.0
502.0,0.0,1.0,0.0,0.0,0.0
503.0,0.0,1.0,0.0,0.0,0.0
504.0,0.0,1.0,0.0,0.0,0.0
505.0,0.0,1.0,0.0,0.0,0.0
506.0,0.0,1.0,0.0,0.0,0.0
507.0,0.0,1.0,0.0,0.0,0.0
508.0,0.0,1.0,0.0,0.0,0.0
509.0,0.0,1.0,0.0,0.0,0.0
510.0,0.0,1.0,0.0,0.0,0.0
511.0,0.0,1.0,0.0,0.0,0.0
512.0,0.5,1.0,0.1388888888888889,0.0,0.0
513.0,2.5,1.0,0.5555555555555556,0.0,0.0
514.0,6.6,1.0,1.1388888888888888,0.0,0.0
515.0,11.8,1.0,1.4444444444444446,0.0,0.0
516.0,16.8,1.0,1.3888888888888888,0.0,0.0
517.0,20.5,1.0,1.0277777777777775,0.0,0.0
518.0,21.9,1.0,0.3888888888888885,0.0,0.0
519.0,21.9,1.0,0.0,0.0,0.0
520.0,21.3,1.0,-0.16666666666666607,0.0,0.0
521.0,20.3,1.0,-0.2777777777777778,0.0,0.0
522.0,19.2,1.0,-0.30555555555555597,0.0,0.0
523.0,17.8,1.0,-0.3888888888888885,0.0,0.0
524.0,15.5,1.0,-0.6388888888888891,0.0,0.0
525.0,11.9,1.0,-0.9999999999999999,0.0,0.0
526.0,7.6,1.0,-1.1944444444444446,0.0,0.0
527.0,4.0,1.0,-0.9999999999999999,0.0,0.0
528.0,2.0,1.0,-0.5555555555555556,0.0,0.0
529.0,1.0,1.0,-0.2777777777777778,0.0,0.0
530.0,0.0,1.0,-0.2777777777777778,0.0,0.0
531.0,0.0,1.0,0.0,0.0,0.0
532.0,0.0,1.0,0.0,0.0,0.0
533.0,0.2,1.0,0.05555555555555556,0.0,0.0
534.0,1.2,1.0,0.2777777777777778,0.0,0.0
535.0,3.2,1.0,0.5555555555555556,0.0,0.0
536.0,5.2,1.0,0.5555555555555556,0.0,0.0
537.0,8.2,1.0,0.833333333333333,0.0,0.0
538.0,13.0,1.0,1.3333333333333335,0.0,0.0
539.0,18.8,1.0,1.6111111111111112,0.0,0.0
540.0,23.1,1.0,1.1944444444444446,0.0,0.0
541.0,24.5,1.0,0.3888888888888885,0.0,0.0
542.0,24.5,1.0,0.0,0.0,0.0
543.0,24.3,1.0,-0.05555555555555536,0.0,0.0
544.0,23.6,1.0,-0.19444444444444425,0.0,0.0
545.0,22.3,1.0,-0.3611111111111113,0.0,0.0
546.0,20.1,1.0,-0.6111111111111109,0.0,0.0
547.0,18.5,1.0,-0.4444444444444448,0.0,0.0
548.0,17.2,1.0,-0.3611111111111113,0.0,0.0
549.0,16.3,1.0,-0.2499999999999996,0.0,0.0
550.0,15.4,1.0,-0.2500000000000001,0.0,0.0
551.0,14.7,1.0,-0.19444444444444473,0.0,0.0
552.0,14.3,1.0,-0.11111111111111072,0.0,0.0
553.0,13.7,1.0,-0.16666666666666705,0.0,0.0
554.0,13.3,1.0,-0.11111111111111072,0.0,0.0
555.0,13.1,1.0,-0.05555555555555585,0.0,0.0
556.0,13.1,1.0,0.0,0.0,0.0
557.0,13.3,1.0,0.05555555555555585,0.0,0.0
558.0,13.8,1.0,0.1388888888888889,0.0,0.0
559.0,14.5,1.0,0.19444444444444425,0.0,0.0
560.0,16.5,1.0,0.5555555555555556,0.0,0.0
561.0,17.0,1.0,0.1388888888888889,0.0,0.0
562.0,17.0,1.0,0.0,0.0,0.0
563.0,17.0,1.0,0.0,0.0,0.0
564.0,15.4,1.0,-0.4444444444444443,0.0,0.0
565.0,10.1,1.0,-1.4722222222222223,0.0,0.0
566.0,4.8,1.0,-1.472222222222222,0.0,0.0
567.0,0.0,1.0,-1.3333333333333333,0.0,0.0
568.0,0.0,1.0,0.0,0.0,0.0
569.0,0.0,1.0,0.0,0.0,0.0
570.0,0.0,1.0,0.0,0.0,0.0
571.0,0.0,1.0,0.0,0.0,0.0
572.0,0.0,1.0,0.0,0.0,0.0
573.0,0.0,1.0,0.0,0.0,0.0
574.0,0.0,1.0,0.0,0.0,0.0
575.0,0.0,1.0,0.0,0.0,0.0
576.0,0.0,1.0,0.0,0.0,0.0
577.0,0.0,1.0,0.0,0.0,0.0
578.0,0.0,1.0,0.0,0.0,0.0
579.0,0.0,1.0,0.0,0.0,0.0
580.0,0.0,1.0,0.0,0.0,0.0
581.0,0.0,1.0,0.0,0.0,0.0
582.0,0.0,1.0,0.0,0.0,0.0
583.0,0.0,1.0,0.0,0.0,0.0
584.0,0.0,1.0,0.0,0.0,0.0
585.0,0.0,1.0,0.0,0.0,0.0
586.0,0.0,1.0,0.0,0.0,0.0
587.0,0.0,1.0,0.0,0.0,0.0
588.0,0.0,1.0,0.0,0.0,0.0
589.0,0.0,1.0,0.0,0.0,0.0
590.0,0.0,1.0,0.0,0.0,0.0
591.0,0.0,1.0,0.0,0.0,0.0
592.0,0.0,1.0,0.0,0.0,0.0
593.0,0.0,1.0,0.0,0.0,0.0
594.0,0.0,1.0,0.0,0.0,0.0
595.0,0.0,1.0,0.0,0.0,0.0
596.0,0.0,1.0,0.0,0.0,0.0
597.0,0.0,1.0,0.0,0.0,0.0
598.0,0.0,1.0,0.0,0.0,0.0
599.0,0.0,1.0,0.0,0.0,0.0
600.0,0.0,1.0,0.0,0.0,0.0
601.0,1.0,1.0,0.2777777777777778,0.0,0.0
602.0,2.1,1.0,0.3055555555555556,0.0,0.0
603.0,4.8,1.0,0.7499999999999999,0.0,0.0
604.0,9.1,1.0,1.1944444444444444,0.0,0.0
605.0,14.2,1.0,1.4166666666666665,0.0,0.0
606.0,19.8,1.0,1.5555555555555558,0.0,0.0
607.0,25.5,1.0,1.583333333333333,0.0,0.0
608.0,30.5,1.0,1.3888888888888888,0.0,0.0
609.0,34.8,1.0,1.1944444444444435,0.0,0.0
610.0,38.8,1.0,1.1111111111111112,0.0,0.0
611.0,42.9,1.0,1.1388888888888893,0.0,0.0
612.0,46.4,1.0,0.9722222222222222,0.0,0.0
613.0,48.3,1.0,0.5277777777777773,0.0,0.0
614.0,48.7,1.0,0.11111111111111269,0.0,0.0
615.0,48.5,1.0,-0.055555555555556344,0.0,0.0
616.0,48.4,1.0,-0.027777777777778172,0.0,0.0
617.0,48.2,1.0,-0.05555555555555437,0.0,0.0
618.0,47.8,1.0,-0.11111111111111269,0.0,0.0
619.0,47.0,1.0,-0.22222222222222143,0.0,0.0
620.0,45.9,1.0,-0.30555555555555597,0.0,0.0
621.0,44.9,1.0,-0.2777777777777778,0.0,0.0
622.0,44.4,1.0,-0.1388888888888889,0.0,0.0
623.0,44.3,1.0,-0.027777777777778172,0.0,0.0
624.0,44.5,1.0,0.055555555555556344,0.0,0.0
625.0,45.1,1.0,0.16666666666666705,0.0,0.0
626.0,45.7,1.0,0.16666666666666705,0.0,0.0
627.0,46.0,1.0,0.08333333333333254,0.0,0.0
628.0,46.0,1.0,0.0,0.0,0.0
629.0,46.0,1.0,0.0,0.0,0.0
630.0,46.1,1.0,0.027777777777778172,0.0,0.0
631.0,46.7,1.0,0.16666666666666705,0.0,0.0
632.0,47.7,1.0,0.2777777777777778,0.0,0.0
633.0,48.9,1.0,0.33333333333333215,0.0,0.0
634.0,50.3,1.0,0.3888888888888885,0.0,0.0
635.0,51.6,1.0,0.36111111111111227,0.0,0.0
636.0,52.6,1.0,0.2777777777777778,0.0,0.0
637.0,53.0,1.0,0.11111111111111072,0.0,0.0
638.0,53.0,1.0,0.0,0.0,0.0
639.0,52.9,1.0,-0.027777777777778172,0.0,0.0
640.0,52.7,1.0,-0.05555555555555437,0.0,0.0
641.0,52.6,1.0,-0.027777777777778172,0.0,0.0
642.0,53.1,1.0,0.1388888888888889,0.0,0.0
643.0,54.3,1.0,0.33333333333333215,0.0,0.0
644.0,55.2,1.0,0.25000000000000155,0.0,0.0
645.0,55.5,1.0,0.08333333333333254,0.0,0.0
646.0,55.9,1.0,0.11111111111111072,0.0,0.0
647.0,56.3,1.0,0.11111111111111072,0.0,0.0
648.0,56.7,1.0,0.11111111111111269,0.0,0.0
649.0,56.9,1.0,0.05555555555555437,0.0,0.0
650.0,56.8,1.0,-0.027777777777778172,0.0,0.0
651.0,56.0,1.0,-0.22222222222222143,0.0,0.0
652.0,54.2,1.0,-0.4999999999999992,0.0,0.0
653.0,52.1,1.0,-0.5833333333333337,0.0,0.0
654.0,50.1,1.0,-0.5555555555555556,0.0,0.0
655.0,47.2,1.0,-0.8055555555555551,0.0,0.0
656.0,43.2,1.0,-1.1111111111111112,0.0,0.0
657.0,39.2,1.0,-1.1111111111111112,0.0,0.0
658.0,36.5,1.0,-0.7500000000000008,0.0,0.0
659.0,34.3,1.0,-0.6111111111111119,0.0,0.0
660.0,31.0,1.0,-0.9166666666666659,0.0,0.0
661.0,26.0,1.0,-1.3888888888888888,0.0,0.0
662.0,20.7,1.0,-1.4722222222222223,0.0,0.0
663.0,15.4,1.0,-1.4722222222222219,0.0,0.0
664.0,13.1,1.0,-0.6388888888888891,0.0,0.0
665.0,12.0,1.0,-0.30555555555555547,0.0,0.0
666.0,12.5,1.0,0.1388888888888889,0.0,0.0
667.0,14.0,1.0,0.41666666666666663,0.0,0.0
668.0,19.0,1.0,1.3888888888888888,0.0,0.0
669.0,23.2,1.0,1.1666666666666665,0.0,0.0
670.0,28.0,1.0,1.3333333333333335,0.0,0.0
671.0,32.0,1.0,1.1111111111111112,0.0,0.0
672.0,34.0,1.0,0.5555555555555556,0.0,0.0
673.0,36.0,1.0,0.5555555555555556,0.0,0.0
674.0,38.0,1.0,0.5555555555555556,0.0,0.0
675.0,40.0,1.0,0.5555555555555556,0.0,0.0
676.0,40.3,1.0,0.08333333333333254,0.0,0.0
677.0,40.5,1.0,0.055555555555556344,0.0,0.0
678.0,39.0,1.0,-0.41666666666666663,0.0,0.0
679.0,35.7,1.0,-0.9166666666666659,0.0,0.0
680.0,31.8,1.0,-1.083333333333334,0.0,0.0
681.0,27.1,1.0,-1.3055555555555554,0.0,0.0
682.0,22.8,1.0,-1.1944444444444446,0.0,0.0
683.0,21.1,1.0,-0.472222222222222,0.0,0.0
684.0,18.9,1.0,-0.6111111111111119,0.0,0.0
685.0,18.9,1.0,0.0,0.0,0.0
686.0,21.3,1.0,0.6666666666666673,0.0,0.0
687.0,23.9,1.0,0.7222222222222217,0.0,0.0
688.0,25.9,1.0,0.5555555555555556,0.0,0.0
689.0,28.4,1.0,0.6944444444444444,0.0,0.0
690.0,30.3,1.0,0.5277777777777783,0.0,0.0
691.0,30.9,1.0,0.16666666666666607,0.0,0.0
692.0,31.1,1.0,0.055555555555556344,0.0,0.0
693.0,31.8,1.0,0.19444444444444425,0.0,0.0
694.0,32.7,1.0,0.2500000000000006,0.0,0.0
695.0,33.2,1.0,0.1388888888888889,0.0,0.0
696.0,32.4,1.0,-0.2222222222222234,0.0,0.0
697.0,28.3,1.0,-1.1388888888888882,0.0,0.0
698.0,25.8,1.0,-0.6944444444444444,0.0,0.0
699.0,23.1,1.0,-0.7499999999999998,0.0,0.0
700.0,21.8,1.0,-0.3611111111111113,0.0,0.0
701.0,21.2,1.0,-0.16666666666666705,0.0,0.0
702.0,21.0,1.0,-0.05555555555555536,0.0,0.0
703.0,21.0,1.0,0.0,0.0,0.0
704.0,20.9,1.0,-0.027777777777778172,0.0,0.0
705.0,19.9,1.0,-0.2777777777777778,0.0,0.0
706.0,17.9,1.0,-0.5555555555555556,0.0,0.0
707.0,15.1,1.0,-0.7777777777777775,0.0,0.0
708.0,12.8,1.0,-0.6388888888888886,0.0,0.0
709.0,12.0,1.0,-0.2222222222222224,0.0,0.0
710.0,13.2,1.0,0.33333333333333315,0.0,0.0
711.0,17.1,1.0,1.083333333333334,0.0,0.0
712.0,21.1,1.0,1.1111111111111112,0.0,0.0
713.0,21.8,1.0,0.19444444444444425,0.0,0.0
714.0,21.2,1.0,-0.16666666666666705,0.0,0.0
715.0,18.5,1.0,-0.7499999999999998,0.0,0.0
716.0,13.9,1.0,-1.2777777777777777,0.0,0.0
717.0,12.0,1.0,-0.5277777777777779,0.0,0.0
718.0,12.0,1.0,0.0,0.0,0.0
719.0,13.0,1.0,0.2777777777777778,0.0,0.0
720.0,16.0,1.0,0.8333333333333333,0.0,0.0
721.0,18.5,1.0,0.6944444444444444,0.0,0.0
722.0,20.6,1.0,0.5833333333333337,0.0,0.0
723.0,22.5,1.0,0.5277777777777773,0.0,0.0
724.0,24.0,1.0,0.41666666666666663,0.0,0.0
725.0,26.6,1.0,0.7222222222222227,0.0,0.0
726.0,29.9,1.0,0.9166666666666659,0.0,0.0
727.0,34.8,1.0,1.3611111111111107,0.0,0.0
728.0,37.8,1.0,0.8333333333333333,0.0,0.0
729.0,40.2,1.0,0.6666666666666682,0.0,0.0
730.0,41.6,1.0,0.3888888888888885,0.0,0.0
731.0,41.9,1.0,0.08333333333333254,0.0,0.0
732.0,42.0,1.0,0.027777777777778172,0.0,0.0
733.0,42.2,1.0,0.055555555555556344,0.0,0.0
734.0,42.4,1.0,0.05555555555555437,0.0,0.0
735.0,42.7,1.0,0.08333333333333452,0.0,0.0
736.0,43.1,1.0,0.11111111111111072,0.0,0.0
737.0,43.7,1.0,0.16666666666666705,0.0,0.0
738.0,44.0,1.0,0.08333333333333254,0.0,0.0
739.0,44.1,1.0,0.027777777777778172,0.0,0.0
740.0,45.3,1.0,0.33333333333333215,0.0,0.0
741.0,46.4,1.0,0.30555555555555597,0.0,0.0
742.0,47.2,1.0,0.2222222222222234,0.0,0.0
743.0,47.3,1.0,0.027777777777776198,0.0,0.0
744.0,47.4,1.0,0.027777777777778172,0.0,0.0
745.0,47.4,1.0,0.0,0.0,0.0
746.0,47.5,1.0,0.027777777777778172,0.0,0.0
747.0,47.9,1.0,0.11111111111111072,0.0,0.0
748.0,48.6,1.0,0.19444444444444522,0.0,0.0
749.0,49.4,1.0,0.22222222222222143,0.0,0.0
750.0,49.8,1.0,0.11111111111111072,0.0,0.0
751.0,49.8,1.0,0.0,0.0,0.0
752.0,49.7,1.0,-0.027777777777776198,0.0,0.0
753.0,49.3,1.0,-0.11111111111111269,0.0,0.0
754.0,48.5,1.0,-0.22222222222222143,0.0,0.0
755.0,47.6,1.0,-0.2499999999999996,0.0,0.0
756.0,46.3,1.0,-0.36111111111111227,0.0,0.0
757.0,43.7,1.0,-0.7222222222222207,0.0,0.0
758.0,39.3,1.0,-1.2222222222222239,0.0,0.0
759.0,34.1,1.0,-1.4444444444444433,0.0,0.0
760.0,29.0,1.0,-1.416666666666667,0.0,0.0
761.0,23.7,1.0,-1.4722222222222223,0.0,0.0
762.0,18.4,1.0,-1.4722222222222223,0.0,0.0
763.0,14.3,1.0,-1.1388888888888882,0.0,0.0
764.0,12.0,1.0,-0.6388888888888891,0.0,0.0
765.0,12.8,1.0,0.2222222222222224,0.0,0.0
766.0,16.0,1.0,0.8888888888888886,0.0,0.0
767.0,19.1,1.0,0.8611111111111115,0.0,0.0
768.0,22.4,1.0,0.9166666666666659,0.0,0.0
769.0,25.6,1.0,0.8888888888888896,0.0,0.0
770.0,30.1,1.0,1.25,0.0,0.0
771.0,35.3,1.0,1.4444444444444433,0.0,0.0
772.0,39.9,1.0,1.2777777777777781,0.0,0.0
773.0,44.5,1.0,1.2777777777777781,0.0,0.0
774.0,47.5,1.0,0.8333333333333333,0.0,0.0
775.0,50.9,1.0,0.944444444444444,0.0,0.0
776.0,54.1,1.0,0.8888888888888896,0.0,0.0
777.0,56.3,1.0,0.6111111111111099,0.0,0.0
778.0,58.1,1.0,0.5000000000000012,0.0,0.0
779.0,59.8,1.0,0.47222222222222104,0.0,0.0
780.0,61.1,1.0,0.36111111111111227,0.0,0.0
781.0,62.1,1.0,0.2777777777777778,0.0,0.0
782.0,62.8,1.0,0.19444444444444325,0.0,0.0
783.0,63.3,1.0,0.1388888888888889,0.0,0.0
784.0,63.6,1.0,0.08333333333333452,0.0,0.0
785.0,64.0,1.0,0.11111111111111072,0.0,0.0
786.0,64.7,1.0,0.19444444444444522,0.0,0.0
787.0,65.2,1.0,0.1388888888888889,0.0,0.0
788.0,65.3,1.0,0.027777777777776198,0.0,0.0
789.0,65.3,1.0,0.0,0.0,0.0
790.0,65.4,1.0,0.027777777777780146,0.0,0.0
791.0,65.7,1.0,0.08333333333333254,0.0,0.0
792.0,66.0,1.0,0.08333333333333254,0.0,0.0
793.0,65.6,1.0,-0.11111111111111269,0.0,0.0
794.0,63.5,1.0,-0.5833333333333317,0.0,0.0
795.0,59.7,1.0,-1.0555555555555547,0.0,0.0
796.0,54.6,1.0,-1.416666666666667,0.0,0.0
797.0,49.3,1.0,-1.4722222222222234,0.0,0.0
798.0,44.9,1.0,-1.2222222222222219,0.0,0.0
799.0,42.3,1.0,-0.7222222222222227,0.0,0.0
800.0,41.4,1.0,-0.2499999999999996,0.0,0.0
801.0,41.3,1.0,-0.027777777777778172,0.0,0.0
802.0,42.1,1.0,0.2222222222222234,0.0,0.0
803.0,44.7,1.0,0.7222222222222227,0.0,0.0
804.0,48.4,1.0,1.0277777777777766,0.0,0.0
805.0,51.4,1.0,0.8333333333333333,0.0,0.0
806.0,52.7,1.0,0.36111111111111227,0.0,0.0
807.0,53.0,1.0,0.08333333333333254,0.0,0.0
808.0,52.5,1.0,-0.1388888888888889,0.0,0.0
809.0,51.3,1.0,-0.3333333333333341,0.0,0.0
810.0,49.7,1.0,-0.44444444444444287,0.0,0.0
811.0,47.4,1.0,-0.6388888888888901,0.0,0.0
812.0,43.7,1.0,-1.0277777777777766,0.0,0.0
813.0,39.7,1.0,-1.1111111111111112,0.0,0.0
814.0,35.5,1.0,-1.1666666666666674,0.0,0.0
815.0,31.1,1.0,-1.2222222222222219,0.0,0.0
816.0,26.3,1.0,-1.3333333333333335,0.0,0.0
817.0,21.9,1.0,-1.2222222222222228,0.0,0.0
818.0,18.0,1.0,-1.0833333333333328,0.0,0.0
819.0,17.0,1.0,-0.2777777777777778,0.0,0.0
820.0,18.0,1.0,0.2777777777777778,0.0,0.0
821.0,21.4,1.0,0.944444444444444,0.0,0.0
822.0,24.8,1.0,0.944444444444445,0.0,0.0
823.0,27.9,1.0,0.8611111111111105,0.0,0.0
824.0,30.8,1.0,0.8055555555555561,0.0,0.0
825.0,33.0,1.0,0.6111111111111109,0.0,0.0
826.0,35.1,1.0,0.5833333333333337,0.0,0.0
827.0,37.1,1.0,0.5555555555555556,0.0,0.0
828.0,38.9,1.0,0.4999999999999992,0.0,0.0
829.0,41.4,1.0,0.6944444444444444,0.0,0.0
830.0,44.0,1.0,0.7222222222222227,0.0,0.0
831.0,46.3,1.0,0.6388888888888881,0.0,0.0
832.0,47.7,1.0,0.38888888888889045,0.0,0.0
833.0,48.2,1.0,0.1388888888888889,0.0,0.0
834.0,48.7,1.0,0.1388888888888889,0.0,0.0
835.0,49.3,1.0,0.16666666666666508,0.0,0.0
836.0,49.8,1.0,0.1388888888888889,0.0,0.0
837.0,50.2,1.0,0.11111111111111269,0.0,0.0
838.0,50.9,1.0,0.19444444444444325,0.0,0.0
839.0,51.8,1.0,0.2499999999999996,0.0,0.0
840.0,52.5,1.0,0.19444444444444522,0.0,0.0
841.0,53.3,1.0,0.22222222222222143,0.0,0.0
842.0,54.5,1.0,0.3333333333333341,0.0,0.0
843.0,55.7,1.0,0.3333333333333341,0.0,0.0
844.0,56.5,1.0,0.22222222222222143,0.0,0.0
845.0,56.8,1.0,0.08333333333333254,0.0,0.0
846.0,57.0,1.0,0.055555555555556344,0.0,0.0
847.0,57.2,1.0,0.055555555555556344,0.0,0.0
848.0,57.7,1.0,0.1388888888888889,0.0,0.0
849.0,58.7,1.0,0.2777777777777778,0.0,0.0
850.0,60.1,1.0,0.3888888888888885,0.0,0.0
851.0,61.1,1.0,0.2777777777777778,0.0,0.0
852.0,61.7,1.0,0.16666666666666705,0.0,0.0
853.0,62.3,1.0,0.16666666666666508,0.0,0.0
854.0,62.9,1.0,0.16666666666666705,0.0,0.0
855.0,63.3,1.0,0.11111111111111072,0.0,0.0
856.0,63.4,1.0,0.027777777777778172,0.0,0.0
857.0,63.5,1.0,0.027777777777778172,0.0,0.0
858.0,64.5,1.0,0.2777777777777778,0.0,0.0
859.0,65.8,1.0,0.36111111111111033,0.0,0.0
860.0,66.8,1.0,0.2777777777777778,0.0,0.0
861.0,67.4,1.0,0.16666666666666904,0.0,0.0
862.0,68.8,1.0,0.3888888888888865,0.0,0.0
863.0,71.1,1.0,0.6388888888888881,0.0,0.0
864.0,72.3,1.0,0.3333333333333341,0.0,0.0
865.0,72.8,1.0,0.1388888888888889,0.0,0.0
866.0,73.4,1.0,0.16666666666666904,0.0,0.0
867.0,74.6,1.0,0.33333333333333015,0.0,0.0
868.0,76.0,1.0,0.38888888888889045,0.0,0.0
869.0,76.6,1.0,0.16666666666666508,0.0,0.0
870.0,76.5,1.0,-0.027777777777776198,0.0,0.0
871.0,76.2,1.0,-0.08333333333333254,0.0,0.0
872.0,75.8,1.0,-0.11111111111111269,0.0,0.0
873.0,75.4,1.0,-0.11111111111110875,0.0,0.0
874.0,74.8,1.0,-0.16666666666666904,0.0,0.0
875.0,73.9,1.0,-0.2499999999999976,0.0,0.0
876.0,72.7,1.0,-0.3333333333333341,0.0,0.0
877.0,71.3,1.0,-0.38888888888889045,0.0,0.0
878.0,70.4,1.0,-0.2499999999999976,0.0,0.0
879.0,70.0,1.0,-0.11111111111111269,0.0,0.0
880.0,70.0,1.0,0.0,0.0,0.0
881.0,69.0,1.0,-0.2777777777777778,0.0,0.0
882.0,68.0,1.0,-0.2777777777777778,0.0,0.0
883.0,68.0,1.0,0.0,0.0,0.0
884.0,68.0,1.0,0.0,0.0,0.0
885.0,68.1,1.0,0.027777777777776198,0.0,0.0
886.0,68.4,1.0,0.08333333333333649,0.0,0.0
887.0,68.6,1.0,0.055555555555552395,0.0,0.0
888.0,68.7,1.0,0.027777777777780146,0.0,0.0
889.0,68.5,1.0,-0.055555555555556344,0.0,0.0
890.0,68.1,1.0,-0.11111111111111269,0.0,0.0
891.0,67.3,1.0,-0.22222222222222143,0.0,0.0
892.0,66.2,1.0,-0.30555555555555397,0.0,0.0
893.0,64.8,1.0,-0.38888888888889045,0.0,0.0
894.0,63.6,1.0,-0.33333333333333215,0.0,0.0
895.0,62.6,1.0,-0.2777777777777778,0.0,0.0
896.0,62.1,1.0,-0.1388888888888889,0.0,0.0
897.0,61.9,1.0,-0.055555555555556344,0.0,0.0
898.0,61.9,1.0,0.0,0.0,0.0
899.0,61.8,1.0,-0.027777777777778172,0.0,0.0
900.0,61.5,1.0,-0.08333333333333254,0.0,0.0
901.0,60.9,1.0,-0.16666666666666705,0.0,0.0
902.0,59.7,1.0,-0.33333333333333215,0.0,0.0
903.0,54.6,1.0,-1.416666666666667,0.0,0.0
904.0,49.3,1.0,-1.4722222222222234,0.0,0.0
905.0,44.9,1.0,-1.2222222222222219,0.0,0.0
906.0,42.3,1.0,-0.7222222222222227,0.0,0.0
907.0,41.4,1.0,-0.2499999999999996,0.0,0.0
908.0,41.3,1.0,-0.027777777777778172,0.0,0.0
909.0,42.1,1.0,0.2222222222222234,0.0,0.0
910.0,44.7,1.0,0.7222222222222227,0.0,0.0
911.0,48.4,1.0,1.0277777777777766,0.0,0.0
912.0,51.4,1.0,0.8333333333333333,0.0,0.0
913.0,52.7,1.0,0.36111111111111227,0.0,0.0
914.0,54.0,1.0,0.36111111111111033,0.0,0.0
915.0,57.0,1.0,0.8333333333333333,0.0,0.0
916.0,58.1,1.0,0.30555555555555597,0.0,0.0
917.0,59.2,1.0,0.30555555555555597,0.0,0.0
918.0,59.0,1.0,-0.055555555555556344,0.0,0.0
919.0,59.1,1.0,0.027777777777778172,0.0,0.0
920.0,59.5,1.0,0.11111111111111072,0.0,0.0
921.0,60.5,1.0,0.2777777777777778,0.0,0.0
922.0,62.3,1.0,0.4999999999999992,0.0,0.0
923.0,63.9,1.0,0.4444444444444448,0.0,0.0
924.0,65.1,1.0,0.33333333333333215,0.0,0.0
925.0,64.1,1.0,-0.2777777777777778,0.0,0.0
926.0,62.7,1.0,-0.3888888888888865,0.0,0.0
927.0,62.0,1.0,-0.19444444444444522,0.0,0.0
928.0,61.3,1.0,-0.19444444444444522,0.0,0.0
929.0,60.9,1.0,-0.11111111111111072,0.0,0.0
930.0,60.5,1.0,-0.11111111111111072,0.0,0.0
931.0,60.2,1.0,-0.08333333333333254,0.0,0.0
932.0,59.8,1.0,-0.11111111111111269,0.0,0.0
933.0,59.4,1.0,-0.11111111111111072,0.0,0.0
934.0,58.6,1.0,-0.22222222222222143,0.0,0.0
935.0,57.5,1.0,-0.30555555555555597,0.0,0.0
936.0,56.6,1.0,-0.2499999999999996,0.0,0.0
937.0,56.0,1.0,-0.16666666666666705,0.0,0.0
938.0,55.5,1.0,-0.1388888888888889,0.0,0.0
939.0,55.0,1.0,-0.1388888888888889,0.0,0.0
940.0,54.4,1.0,-0.16666666666666705,0.0,0.0
941.0,54.1,1.0,-0.08333333333333254,0.0,0.0
942.0,54.0,1.0,-0.027777777777778172,0.0,0.0
943.0,53.9,1.0,-0.027777777777778172,0.0,0.0
944.0,53.9,1.0,0.0,0.0,0.0
945.0,54.0,1.0,0.027777777777778172,0.0,0.0
946.0,54.2,1.0,0.055555555555556344,0.0,0.0
947.0,55.0,1.0,0.22222222222222143,0.0,0.0
948.0,55.8,1.0,0.22222222222222143,0.0,0.0
949.0,56.2,1.0,0.11111111111111269,0.0,0.0
950.0,56.1,1.0,-0.027777777777778172,0.0,0.0
951.0,55.1,1.0,-0.2777777777777778,0.0,0.0
952.0,52.7,1.0,-0.6666666666666663,0.0,0.0
953.0,48.4,1.0,-1.1944444444444455,0.0,0.0
954.0,43.1,1.0,-1.4722222222222214,0.0,0.0
955.0,37.8,1.0,-1.4722222222222234,0.0,0.0
956.0,32.5,1.0,-1.4722222222222214,0.0,0.0
957.0,27.2,1.0,-1.4722222222222223,0.0,0.0
958.0,25.1,1.0,-0.5833333333333327,0.0,0.0
959.0,26.0,1.0,0.2499999999999996,0.0,0.0
960.0,29.3,1.0,0.9166666666666669,0.0,0.0
961.0,34.6,1.0,1.4722222222222223,0.0,0.0
962.0,40.4,1.0,1.6111111111111103,0.0,0.0
963.0,45.3,1.0,1.3611111111111107,0.0,0.0
964.0,49.0,1.0,1.0277777777777786,0.0,0.0
965.0,51.1,1.0,0.5833333333333337,0.0,0.0
966.0,52.1,1.0,0.2777777777777778,0.0,0.0
967.0,52.2,1.0,0.027777777777778172,0.0,0.0
968.0,52.1,1.0,-0.027777777777778172,0.0,0.0
969.0,51.7,1.0,-0.11111111111111072,0.0,0.0
970.0,50.9,1.0,-0.2222222222222234,0.0,0.0
971.0,49.2,1.0,-0.47222222222222104,0.0,0.0
972.0,45.9,1.0,-0.9166666666666679,0.0,0.0
973.0,40.6,1.0,-1.4722222222222214,0.0,0.0
974.0,35.3,1.0,-1.4722222222222234,0.0,0.0
975.0,30.0,1.0,-1.4722222222222214,0.0,0.0
976.0,24.7,1.0,-1.4722222222222223,0.0,0.0
977.0,19.3,1.0,-1.4999999999999996,0.0,0.0
978.0,16.0,1.0,-0.9166666666666669,0.0,0.0
979.0,13.2,1.0,-0.7777777777777779,0.0,0.0
